target,seed,fold,test_r2
Other_0pct,1,1,0.997753654973132
Other_0pct,1,2,0.9987813049575787
Other_0pct,1,3,0.9984969443430588
Other_0pct,1,4,0.9969533414010834
Other_20pct,1,0,0.9978471732838694
Other_20pct,1,1,0.9972463688701694
Other_20pct,1,2,0.9969377815711804
Other_20pct,1,3,0.9967633881243154
Other_20pct,1,4,0.9963879836796687
Youngs_modulus,2,0,0.9893707687058447
Youngs_modulus,2,1,0.9796905732866836
Youngs_modulus,2,2,0.9849924263715343
Youngs_modulus,2,3,0.9797584317132255
Youngs_modulus,2,4,0.9798070077410871
UTS,2,0,0.990993907985304
UTS,2,1,0.9920462037526678
UTS,2,2,0.9932212055674741
UTS,2,3,0.9894923788375782
UTS,2,4,0.9939458372489458
Disloc_0pct,2,0,0.9796838395963517
Disloc_0pct,2,1,0.9777819507902761
Disloc_0pct,2,2,0.9764690498071468
Disloc_0pct,2,3,0.9819688539637843
Disloc_0pct,2,4,0.9735443261289732
Disloc_20pct,2,0,0.9122772411651636
Disloc_20pct,2,1,0.9012896689135895
Disloc_20pct,2,2,0.87063907172036
Disloc_20pct,2,3,0.9297099565170694
Disloc_20pct,2,4,0.9142041947120236
FCC_0pct,2,0,0.9988312919077728
FCC_0pct,2,1,0.9981335893171338
FCC_0pct,2,2,0.9990152684554297
FCC_0pct,2,3,0.9980203623354877
FCC_0pct,2,4,0.9972626896249864
HCP_0pct,2,0,0.6663342704596816
HCP_0pct,2,1,0.6847070261016748
HCP_0pct,2,2,0.768607453632265
HCP_0pct,2,3,0.685881671216293
HCP_0pct,2,4,0.7630638486075927
BCC_0pct,2,0,0.5201452343816029
BCC_0pct,2,1,0.41918097781274855
BCC_0pct,2,2,0.42368207925078694
BCC_0pct,2,3,0.4555329669787148
BCC_0pct,2,4,0.4829201982517236
FCC_20pct,2,0,0.9454612824021343
FCC_20pct,2,1,0.9483301276552485
FCC_20pct,2,2,0.9570442020264986
FCC_20pct,2,3,0.9466689233154246
FCC_20pct,2,4,0.9550760767644888
