target,template,seed,fold,test_r2
Disloc_0pct,arrhenius,0,4,0.9698925821763718
Disloc_0pct,power_law,0,0,0.9715615694748563
Disloc_0pct,power_law,0,1,0.9636272984992382
Disloc_0pct,power_law,0,2,0.9643154095016716
Disloc_0pct,power_law,0,3,0.9752001449738403
Disloc_0pct,power_law,0,4,0.9703928929180623
Disloc_0pct,free_2stage,0,0,0.973683946970146
Disloc_0pct,free_2stage,0,1,0.9660904491533858
Disloc_0pct,free_2stage,0,2,0.9686051260311783
Disloc_0pct,free_2stage,0,3,0.9784615357587356
Disloc_0pct,free_2stage,0,4,0.9661633209714126
Disloc_0pct,free_1stage,0,0,0.981218314477183
Disloc_0pct,free_1stage,0,1,0.9777813017208882
Disloc_0pct,free_1stage,0,2,0.9764680188061456
Disloc_0pct,free_1stage,0,3,0.9819708640399258
Disloc_0pct,free_1stage,0,4,0.9735443183477924
Disloc_0pct,entropy_weighted,0,0,0.971584763869089
Disloc_0pct,entropy_weighted,0,1,0.9750725280306524
Disloc_0pct,entropy_weighted,0,2,0.9642404843370485
Disloc_0pct,entropy_weighted,0,3,0.9752940277768564
Disloc_0pct,entropy_weighted,0,4,0.9628891149231373
Disloc_0pct,calphad,0,0,-0.3414273905954399
Disloc_0pct,calphad,0,1,-0.5061384597128498
Disloc_0pct,calphad,0,2,-0.44871841210759444
Disloc_0pct,calphad,0,3,-0.49479122193710756
Disloc_0pct,calphad,0,4,-0.45140570153399806
Disloc_20pct,additive,0,0,0.9052728939636715
Disloc_20pct,additive,0,1,0.8674441904351108
Disloc_20pct,additive,0,2,0.8780562594364231
Disloc_20pct,additive,0,3,0.918913687493159
Disloc_20pct,additive,0,4,0.8791907223862663
Disloc_20pct,multiplicative,0,0,0.8691169717232015
Disloc_20pct,multiplicative,0,1,0.8583161889395108
Disloc_20pct,multiplicative,0,2,0.8664886179797583
Disloc_20pct,multiplicative,0,3,0.9074045427472808
Disloc_20pct,multiplicative,0,4,0.8925729222958193
Disloc_20pct,thermal_softening,0,0,0.8891582833843117
Disloc_20pct,thermal_softening,0,1,0.8887799172248172
Disloc_20pct,thermal_softening,0,2,0.8714299265860277
Disloc_20pct,thermal_softening,0,3,0.9041955522748492
Disloc_20pct,thermal_softening,0,4,0.8810523593910736
Disloc_20pct,arrhenius,0,0,0.9037305274501065
Disloc_20pct,arrhenius,0,1,0.9024056483395269
Disloc_20pct,arrhenius,0,2,0.8771729772507646
Disloc_20pct,arrhenius,0,3,0.9194784417174805
Disloc_20pct,arrhenius,0,4,0.8856537569414139
Disloc_20pct,power_law,0,0,0.8932606308351876
