target,template,seed,fold,test_r2
Disloc_0pct,arrhenius,0,1,-0.25408227081117185
Disloc_0pct,arrhenius,0,2,-0.0762465849010634
Disloc_0pct,arrhenius,0,3,-0.23433450108391218
Disloc_0pct,arrhenius,0,4,-0.010347730181163195
Disloc_0pct,power_law,0,0,-0.0317742380276016
Disloc_0pct,power_law,0,1,-0.24449425188170504
Disloc_0pct,power_law,0,2,-0.21351702828004027
Disloc_0pct,power_law,0,3,0.007512041660746482
Disloc_0pct,power_law,0,4,0.03821928861358559
Disloc_0pct,free_2stage,0,0,0.032372416536899484
Disloc_0pct,free_2stage,0,1,-0.03998737718948231
Disloc_0pct,free_2stage,0,2,0.00323499143721373
Disloc_0pct,free_2stage,0,3,0.06706356296495009
Disloc_0pct,free_2stage,0,4,0.010112170932739417
Disloc_0pct,free_1stage,0,0,-0.0072875196554689214
Disloc_0pct,free_1stage,0,1,-0.028926617844504898
Disloc_0pct,free_1stage,0,2,-0.019439089087451178
Disloc_0pct,free_1stage,0,3,0.04645194790903484
Disloc_0pct,free_1stage,0,4,-0.015087893286497733
Disloc_0pct,entropy_weighted,0,0,-0.05187740247845252
Disloc_0pct,entropy_weighted,0,1,-0.12024246490757906
Disloc_0pct,entropy_weighted,0,2,-0.21473414813102498
Disloc_0pct,entropy_weighted,0,3,0.08650337121243845
Disloc_0pct,entropy_weighted,0,4,-0.04065377948205606
Disloc_0pct,calphad,0,0,-0.132573496433271
Disloc_0pct,calphad,0,1,-0.3155232497181144
Disloc_0pct,calphad,0,2,-0.947793568021724
Disloc_0pct,calphad,0,3,0.22985331225712247
Disloc_0pct,calphad,0,4,-0.9510602321351249
Disloc_20pct,additive,0,0,-0.10163021674895689
Disloc_20pct,additive,0,1,-0.14586735235410786
Disloc_20pct,additive,0,2,-0.3247956476217204
Disloc_20pct,additive,0,3,0.08156507652983536
Disloc_20pct,additive,0,4,0.025238804219597344
Disloc_20pct,multiplicative,0,0,-0.09401520843931799
Disloc_20pct,multiplicative,0,1,-0.2092858993112905
Disloc_20pct,multiplicative,0,2,-0.32749914061887564
Disloc_20pct,multiplicative,0,3,-0.04872791737911797
Disloc_20pct,multiplicative,0,4,0.050637080240894417
Disloc_20pct,thermal_softening,0,0,-0.014467255233425735
Disloc_20pct,thermal_softening,0,1,-0.060995012586594566
Disloc_20pct,thermal_softening,0,2,-0.050602090313863535
Disloc_20pct,thermal_softening,0,3,0.08051798165792334
Disloc_20pct,thermal_softening,0,4,0.014886268158151639
Disloc_20pct,arrhenius,0,0,-0.008566795323443621
Disloc_20pct,arrhenius,0,1,-0.04139645044621054
Disloc_20pct,arrhenius,0,2,-0.08323379172507983
Disloc_20pct,arrhenius,0,3,-0.07814415568622346
Disloc_20pct,arrhenius,0,4,0.03918131755946497
Disloc_20pct,power_law,0,0,-0.21468497929056607
Disloc_20pct,power_law,0,1,-0.20938188741991426
Disloc_20pct,power_law,0,2,-0.32735521784879507
Disloc_20pct,power_law,0,3,0.08130311681250368
Disloc_20pct,power_law,0,4,0.027535546849062675
Disloc_20pct,free_2stage,0,0,0.07564483249017817
Disloc_20pct,free_2stage,0,1,-0.026378164756735156
Disloc_20pct,free_2stage,0,2,-0.09712875889093686
Disloc_20pct,free_2stage,0,3,0.05481385251984383
Disloc_20pct,free_2stage,0,4,-0.00020420676353993805
Disloc_20pct,free_1stage,0,0,0.053308517538685485
Disloc_20pct,free_1stage,0,1,-0.030602621964627374
Disloc_20pct,free_1stage,0,2,-0.05658278500086422
Disloc_20pct,free_1stage,0,3,-0.0403060886626021
Disloc_20pct,free_1stage,0,4,-0.06784416094470913
Disloc_20pct,entropy_weighted,0,0,0.003625217346020615
Disloc_20pct,entropy_weighted,0,1,-0.0711654914736699
Disloc_20pct,entropy_weighted,0,2,-0.2344309106405098
Disloc_20pct,entropy_weighted,0,3,-0.45535179268333215
Disloc_20pct,entropy_weighted,0,4,-0.009473154971634035
Disloc_20pct,calphad,0,0,0.35737819929591996
Disloc_20pct,calphad,0,1,-0.38531582042982615
Disloc_20pct,calphad,0,2,-0.6989583210104247
Disloc_20pct,calphad,0,3,0.13344904168531824
Disloc_20pct,calphad,0,4,-0.2803490703664322
FCC_0pct,additive,0,0,-0.003492581334105349
FCC_0pct,additive,0,1,-0.15341656050996533
FCC_0pct,additive,0,2,-0.028884826466123448
FCC_0pct,additive,0,3,0.0749921856466409
FCC_0pct,additive,0,4,-0.020557007467923327
FCC_0pct,multiplicative,0,0,-0.041054173527660165
FCC_0pct,multiplicative,0,1,-0.1318698640913829
FCC_0pct,multiplicative,0,2,-0.0284040440806701
FCC_0pct,multiplicative,0,3,0.07827140780866904
FCC_0pct,multiplicative,0,4,-0.09423828672663248
FCC_0pct,thermal_softening,0,0,-0.0015614173804974207
FCC_0pct,thermal_softening,0,1,-0.011632109509629451
FCC_0pct,thermal_softening,0,2,-0.019401084444859773
FCC_0pct,thermal_softening,0,3,-0.0042242073181169015
FCC_0pct,thermal_softening,0,4,-0.08847276925069836
FCC_0pct,arrhenius,0,0,-0.016572670869161588
FCC_0pct,arrhenius,0,1,-0.08569956792184863
FCC_0pct,arrhenius,0,2,0.006720248155252628
FCC_0pct,arrhenius,0,3,-0.019372508991739812
FCC_0pct,arrhenius,0,4,-0.04855629212412049
FCC_0pct,power_law,0,0,-0.07293329484786315
FCC_0pct,power_law,0,1,-0.1521550417130204
FCC_0pct,power_law,0,2,-0.03351250896074309
FCC_0pct,power_law,0,3,0.07869211728097147
FCC_0pct,power_law,0,4,-0.02359521290915434
FCC_0pct,free_2stage,0,0,-0.1348157704949342
FCC_0pct,free_2stage,0,1,-0.0681971750768231
FCC_0pct,free_2stage,0,2,0.03075349467241728
FCC_0pct,free_2stage,0,3,0.10910307318585655
FCC_0pct,free_2stage,0,4,-0.08185427947313362
FCC_0pct,free_1stage,0,0,-0.01434154904806717
FCC_0pct,free_1stage,0,1,-0.015511812931239488
