target,seed,fold,test_r2
Disloc_20pct,2,4,0.8880350966355779
FCC_0pct,2,0,0.9981746020069413
FCC_0pct,2,1,0.9977947426672539
FCC_0pct,2,2,0.9989429472286367
FCC_0pct,2,3,0.9986516695285649
FCC_0pct,2,4,0.9981252745718884
HCP_0pct,2,0,0.7055276537189175
HCP_0pct,2,1,0.7337699946716643
HCP_0pct,2,2,0.7343741911380451
HCP_0pct,2,3,0.7029923544537467
HCP_0pct,2,4,0.6429445528276683
BCC_0pct,2,0,0.464875696397286
BCC_0pct,2,1,0.3757277279366926
BCC_0pct,2,2,0.39310882005333414
BCC_0pct,2,3,0.48965981004486314
BCC_0pct,2,4,0.33360035171851055
FCC_20pct,2,0,0.9512775541593653
FCC_20pct,2,1,0.9436432542235293
FCC_20pct,2,2,0.9603007444858009
FCC_20pct,2,3,0.9484490255608901
FCC_20pct,2,4,0.9083411913521686
HCP_20pct,2,0,0.7755472116613764
HCP_20pct,2,1,0.7979784018207063
HCP_20pct,2,2,0.6649619364181001
HCP_20pct,2,3,0.7535931479819771
HCP_20pct,2,4,0.6708155864538795
BCC_20pct,2,0,0.8666447882305863
BCC_20pct,2,1,0.8875961350116048
BCC_20pct,2,2,0.746609764164644
BCC_20pct,2,3,0.884452609320296
BCC_20pct,2,4,0.815080645613263
Other_0pct,2,0,0.9981050298536448
Other_0pct,2,1,0.9981617893478893
Other_0pct,2,2,0.9990167442097839
Other_0pct,2,3,0.9979667925402474
Other_0pct,2,4,0.9988941654199741
Other_20pct,2,0,0.9970738496530954
Other_20pct,2,1,0.9964403938929622
Other_20pct,2,2,0.9966612152716856
Other_20pct,2,3,0.9964914025915821
Other_20pct,2,4,0.9965117716802603
Youngs_modulus,3,0,0.9839166688390302
Youngs_modulus,3,1,0.9796931519563313
Youngs_modulus,3,2,0.9903940333292962
Youngs_modulus,3,3,0.9872836001099402
Youngs_modulus,3,4,0.9777641649935732
UTS,3,0,0.9925541775054105
UTS,3,1,0.9914085896210275
UTS,3,2,0.9925191882849193
UTS,3,3,0.9931277156127937
UTS,3,4,0.9935313571706628
Disloc_0pct,3,0,0.9802454120855038
Disloc_0pct,3,1,0.9777796482638871
Disloc_0pct,3,2,0.9764688858550531
Disloc_0pct,3,3,0.9819719870363398
Disloc_0pct,3,4,0.9735443139969014
Disloc_20pct,3,0,0.8805212818115743
Disloc_20pct,3,1,0.8648741974846205
Disloc_20pct,3,2,0.884545306348584
Disloc_20pct,3,3,0.9211467879214559
Disloc_20pct,3,4,0.9099130486463514
FCC_0pct,3,0,0.9975308674822533
FCC_0pct,3,1,0.9972677742440111
FCC_0pct,3,2,0.9983600023551309
FCC_0pct,3,3,0.9992229578997878
FCC_0pct,3,4,0.9988651117896303
HCP_0pct,3,0,0.6934793982920664
HCP_0pct,3,1,0.6847016650528172
HCP_0pct,3,2,0.7343749829488398
HCP_0pct,3,3,0.7237144445217838
HCP_0pct,3,4,0.6917348584788489
BCC_0pct,3,0,0.4502729429108563
BCC_0pct,3,1,0.40317127742531333
BCC_0pct,3,2,0.44290078248345155
BCC_0pct,3,3,0.39010187814851127
BCC_0pct,3,4,0.5515416578181447
FCC_20pct,3,0,0.9472967859484268
FCC_20pct,3,1,0.9458551942479209
FCC_20pct,3,2,0.954220838478469
FCC_20pct,3,3,0.9493890661950277
FCC_20pct,3,4,0.9518251827530452
HCP_20pct,3,0,0.7411252844728491
HCP_20pct,3,1,0.7808620766923531
HCP_20pct,3,2,0.7622089199846771
HCP_20pct,3,3,0.6646815530757186
HCP_20pct,3,4,0.6708155864538795
BCC_20pct,3,0,0.8913897166376018
BCC_20pct,3,1,0.9087108252344893
BCC_20pct,3,2,0.8204461332888828
BCC_20pct,3,3,0.8962732990724144
BCC_20pct,3,4,0.8606418095425372
Other_0pct,3,0,0.9986093072986336
Other_0pct,3,1,0.9972077619192665
Other_0pct,3,2,0.998811616325136
Other_0pct,3,3,0.9981452974897834
Other_0pct,3,4,0.9992244323627032
Other_20pct,3,0,0.9968988876193791
Other_20pct,3,1,0.9971030671423087
Other_20pct,3,2,0.9958535338919576
Other_20pct,3,3,0.9960261582890325
Other_20pct,3,4,0.9965092643744314
Youngs_modulus,4,0,0.9796323313694074
Youngs_modulus,4,1,0.9802320561101278
Youngs_modulus,4,2,0.986475548357854
Youngs_modulus,4,3,0.9832693841485627
Youngs_modulus,4,4,0.9779451103650074
UTS,4,0,0.9921796491053657
UTS,4,1,0.9914163136628147
UTS,4,2,0.9924137515696522
UTS,4,3,0.9927455187338164
UTS,4,4,0.991252473610086
Disloc_0pct,4,0,0.9802455504575706
Disloc_0pct,4,1,0.9844279358938736
Disloc_0pct,4,2,0.9764697728856874
Disloc_0pct,4,3,0.9819720281713011
Disloc_0pct,4,4,0.9735444416191472
Disloc_20pct,4,0,0.9031561579984408
Disloc_20pct,4,1,0.8555185259028601
Disloc_20pct,4,2,0.8845480494370908
Disloc_20pct,4,3,0.9202534626084748
Disloc_20pct,4,4,-1.0
FCC_0pct,4,0,0.9990236199819463
FCC_0pct,4,1,0.9972090747567265
FCC_0pct,4,2,0.9987930370829413
FCC_0pct,4,3,0.9978084953971937
FCC_0pct,4,4,0.9979628666922781
HCP_0pct,4,0,0.6921476814846615
HCP_0pct,4,1,0.6778753049817117
HCP_0pct,4,2,0.6176375221520545
HCP_0pct,4,3,0.7237174924209487
HCP_0pct,4,4,0.691734985065042
BCC_0pct,4,0,0.41046221774085756
BCC_0pct,4,1,0.4026986117861181
BCC_0pct,4,2,0.5167786750792274
