atomic_volume_delta,electron_affinity_delta,fusion_heat_delta,metallic_radius_avg,molar_heat_capacity_delta,vdw_radius_batsanov_avg,vdw_radius_batsanov_delta,T
0.2605001597556677,0.4047875619530287,2.5887685779149896,116.75,0.8128436196464851,202.75,2.4874685927665356,80
0.260384310571926,0.4153871811443836,2.6268439237990515,116.8,0.8190718832923027,202.49999999999997,2.499999999999986,80
0.250568279638418,0.4106760007659043,2.633995586556667,116.9,0.7764077536964707,202.75,2.487468592766536,80
0.2602682750024594,0.4187657700986042,2.6637895468673944,116.85,0.8239324911666002,202.25,2.4874685927665356,80
0.250466437914988,0.4206187555878566,2.6680234256842645,116.95,0.7794831621016579,202.49999999999997,2.499999999999986,80
0.2376372063061343,0.416443729570127,2.6586355052921413,117.05,0.7291219033879038,202.75,2.4874685927665356,80
0.2601520527978672,0.4150996870072019,2.6996518294031913,116.9,0.8274495452896203,202.0,2.449489742783164,80
0.2503644146122577,0.4234503719439588,2.701045121800078,117.0,0.7811536340567069,202.25,2.487468592766536,80
0.2375494335573707,0.4257494096830635,2.688975455447669,117.1,0.7287144502478318,202.49999999999997,2.499999999999986,80
0.2211815327119603,0.4220956967222919,2.663259797691543,117.2,0.6686882681788276,202.75,2.4874685927665356,80
0.2688178172500799,0.3772088563735971,2.7192381285941103,116.8,0.878466846272527,203.0,2.449489742783164,80
0.2687118280009755,0.3925099250641657,2.7612321072303936,116.85,0.88219669008674,202.74999999999997,2.4874685927665356,80
0.2583398564316451,0.3838138658515049,2.795395499745966,116.95,0.8395920140163314,203.0,2.449489742783164,80
0.2686056662946708,0.399957849305495,2.8020401496052836,116.9,0.8846807333722146,202.5,2.499999999999986,80
0.2582476076544151,0.3983245204190636,2.8330571384989747,117.0,0.8402992026653362,202.74999999999997,2.4874685927665356,80
0.2449056828718934,0.3902671404475107,2.8510377058187077,117.1,0.7904688482160442,203.0,2.449489742783164,80
0.2684993319266029,0.3999915513711222,2.841713347612669,116.95,0.8859294554308483,202.25,2.4874685927665356,80
0.2581551899900218,0.4051376105896329,2.869680992723756,117.05,0.8397099201510004,202.5,2.499999999999986,80
0.2448274019439643,0.4040168323972122,2.884826294597302,117.15,0.7878134296900502,202.74999999999997,2.4874685927665356,80
