atomic_radius_avg,atomic_radius_delta,atomic_radius_rahm_avg,atomic_radius_rahm_delta,atomic_volume_avg,atomic_volume_delta,atomic_weight_avg,atomic_weight_delta,atomic_weight_uncertainty_avg,atomic_weight_uncertainty_delta,boiling_point_avg,boiling_point_delta,c6_avg,c6_delta,c6_gb_avg,c6_gb_delta,covalent_radius_avg,covalent_radius_delta,covalent_radius_bragg_avg,covalent_radius_bragg_delta,covalent_radius_cordero_avg,covalent_radius_cordero_delta,covalent_radius_pyykko_avg,covalent_radius_pyykko_delta,covalent_radius_pyykko_double_avg,covalent_radius_pyykko_double_delta,covalent_radius_pyykko_triple_avg,covalent_radius_pyykko_triple_delta,density_avg,density_delta,dipole_polarizability_avg,dipole_polarizability_delta,dipole_polarizability_unc_avg,dipole_polarizability_unc_delta,electron_affinity_avg,electron_affinity_delta,en_allen_avg,en_allen_delta,en_ghosh_avg,en_ghosh_delta,en_miedema_avg,en_miedema_delta,en_pauling_avg,en_pauling_delta,en_robles_bartolotti_avg,en_robles_bartolotti_delta,evaporation_heat_avg,evaporation_heat_delta,fusion_heat_avg,fusion_heat_delta,gas_basicity_avg,gas_basicity_delta,group_id_avg,group_id_delta,heat_of_formation_avg,heat_of_formation_delta,lattice_constant_avg,lattice_constant_delta,mass_avg,mass_delta,melting_point_avg,melting_point_delta,metallic_radius_avg,metallic_radius_delta,metallic_radius_c12_avg,metallic_radius_c12_delta,miedema_electron_density_avg,miedema_electron_density_delta,miedema_molar_volume_avg,miedema_molar_volume_delta,molar_heat_capacity_avg,molar_heat_capacity_delta,proton_affinity_avg,proton_affinity_delta,specific_heat_avg,specific_heat_delta,specific_heat_capacity_avg,specific_heat_capacity_delta,thermal_conductivity_avg,thermal_conductivity_delta,vdw_radius_avg,vdw_radius_delta,vdw_radius_alvarez_avg,vdw_radius_alvarez_delta,vdw_radius_batsanov_avg,vdw_radius_batsanov_delta,vdw_radius_mm3_avg,vdw_radius_mm3_delta,vdw_radius_uff_avg,vdw_radius_uff_delta,S_mix,T,VEC
137.75,2.48746859276655,233.0,4.732863826479693,6.933083433557544,0.26050015975566776,56.8400338,2.7798106800076803,0.0011208000000000001,0.0009379821746707131,3114.2000000000003,104.6854693832912,451.95000000000005,85.73475083068709,509.55,112.9661343058175,114.5,4.018706259482016,138.25,2.0463381929681126,136.65,6.762211176826704,114.5,4.018706259482016,106.80000000000001,4.190465367951393,101.65,4.860812689252694,8.2205,0.6500113460548208,60.375,10.914296816561293,4.824999999999999,3.1195953263203866,0.585701292,0.4047875619530287,10.667500000000002,0.41904504531136055,0.14104427500000002,0.005403221090042033,4.952,0.2077402223932572,1.8339999999999999,0.0796492310069595,4.265000000000001,0.880065338483456,356.07000000000005,24.190227365611932,15.938500000000001,2.5887685779149896,726.1000000000001,27.4611725896765,8.450000000000001,1.3592277219068187,414.052,20.477105654852693,2.9665000000000004,0.35847280231560114,56.8400338,2.7798106800076803,1818.6310000000003,179.98182091255774,116.75,1.2599603168354152,125.8,1.3266499161421599,5.3,0.5033090501868608,6.9365000000000006,0.24054677299851698,24.9405,0.8128436196464851,749.0,27.461172589676494,0.4392,0.01644870815596168,0.4392,0.01644870815596168,104.47500000000002,68.45313634158774,201.70000000000002,3.3926390907374753,242.25,2.299456457513384,202.75,2.4874685927665356,223.25,1.0897247358851583,293.41999999999996,14.101971493376386,12.01078741877911,80,8.450000000000001
137.5,2.5,232.0,5.779273310719955,6.932896112242424,0.26038431057192607,57.2250838,3.1269919147328733,0.0011708,0.0010075865024899847,3099.15,121.0871586915805,440.50000000000006,95.67261886245197,495.35,124.50111445284335,114.3,4.038564101261726,138.1,2.0223748416156684,136.15,6.7177004994268685,114.3,4.038564101261726,107.1,4.537620521815371,102.55000000000001,6.296626080687974,8.275,0.6638862854435238,59.599999999999994,11.314371392171992,4.6499999999999995,3.2561480310329873,0.639901292,0.41538718114438367,10.6835,0.42377204957382486,0.14164019500000002,0.005814414467637737,4.928,0.23485314560380055,1.8375,0.08092434738692675,4.2325,0.8860918406124728,354.3,26.487355473886034,15.899,2.6268439237990515,721.1650000000001,34.168644617543734,8.6,1.4628738838327795,410.147,26.414663560227307,3.0035000000000003,0.3838915862584123,57.2250838,3.1269919147328733,1795.9620000000002,206.1465912791187,116.8,1.2884098726725126,125.89999999999999,1.4106735979665883,5.1815,0.6788760932600292,6.938000000000001,0.2415905627295902,24.9075,0.8190718832923027,744.0649999999999,34.168644617543734,0.436,0.02005991026899174,0.436,0.02005991026899174,120.50500000000001,93.78829604486906,201.3,3.5651086939951773,241.95,2.43874967965144,202.49999999999997,2.499999999999986,223.39999999999998,1.2409673645990733,296.335,18.637872062013955,12.68749170113598,80,8.6
137.75,2.48746859276655,232.4,5.834380858325929,6.957954606310353,0.250568279638418,57.0826638,3.1217349214814445,0.0012508,0.001006728642683817,3096.5500000000006,119.74197259106766,445.95,94.7726094396477,503.1,122.7,114.6,3.929376540877692,138.35,1.9306734576307822,137.05,6.216711349258545,114.6,3.929376540877692,107.50000000000001,4.330127018922194,102.60000000000001,6.288083968904996,8.223500000000001,0.6532708090830326,60.25,11.057237448838656,4.7,3.2380549717384355,0.589651292,0.4106760007659043,10.659,0.41122864686205923,0.141242515,0.00569076435237614,4.9145,0.226439285460805,1.8335,0.07920069444139993,4.202999999999999,0.8697189201115497,352.37000000000006,26.04909019524483,15.7085,2.633995586556667,722.0150000000001,34.19376076128509,8.5,1.4317821063276355,409.41700000000003,26.052411999659466,2.971,0.3658811282370273,57.0826638,3.1217349214814445,1800.1120000000003,205.57432961340285,116.9,1.2206555615733703,126.0,1.3416407864998738,5.191,0.6826265450449462,6.9625,0.23067021914412802,24.859,0.7764077536964707,744.915,34.1937607612851,0.43625,0.020188796398002536,0.43625,0.020188796398002536,119.98000000000002,93.9817354596094,201.65,3.4680686267719674,242.15,2.43464576478797,202.75,2.487468592766536,223.45000000000002,1.2031209415515853,296.72499999999997,18.44372183156101,12.369555731333724,80,8.5
137.25,2.48746859276655,231.0,6.511528238439882,6.932708790927303,0.26026827500245947,57.6101338,3.3959214431321523,0.0012208,0.0010703506715091088,3084.1000000000004,133.83627124214124,429.05,103.41106082039772,481.15000000000003,133.5530886950953,114.1,4.048456495999424,137.95000000000002,1.9868316486305528,135.65,6.635322147416808,114.1,4.048456495999424,107.4,4.841487374764082,103.45,7.3517004835616095,8.3295,0.6730785615364673,58.824999999999996,11.649329379839854,4.475,3.3781466812440217,0.694101292,0.4187657700986042,10.6995,0.4278489803657364,0.142236115,0.0061408298919832524,4.904,0.2569124364447932,1.841,0.08203048213926332,4.2,0.8908928106119164,352.53000000000003,28.49082483888454,15.8595,2.6637895468673944,716.2300000000001,39.14291889984701,8.75,1.5451537140362444,406.24199999999996,30.751569000621753,3.0405,0.40435720594543634,57.6101338,3.3959214431321523,1773.2930000000001,227.0938378974648,116.85000000000001,1.3143439428094914,126.0,1.4832396974191326,5.063000000000001,0.8002130966186444,6.939500000000001,0.2426205885740121,24.874499999999998,0.8239324911666002,739.13,39.14291889984701,0.43279999999999996,0.022666274506411503,0.43279999999999996,0.022666274506411503,136.535,111.3226628993396,200.9,3.686461718233352,241.65,2.5352514668174435,202.25,2.4874685927665356,223.54999999999998,1.3592277219068045,299.25,21.88333841076357,13.087092356442959,80,8.75
137.5,2.5,231.39999999999998,6.6211781428987395,6.957767284995232,0.250466437914988,57.4677138,3.4072144891563196,0.0013008,0.0010657966785461476,3081.5000000000005,132.32508265631276,434.5,103.18551254900078,488.9,132.7075355810664,114.39999999999999,3.9547439866570295,138.2,1.9131126469708992,136.55,6.200604809210146,114.39999999999999,3.9547439866570295,107.8,4.621688003316537,103.50000000000001,7.338255923582932,8.278,0.6668328126299724,59.475,11.443857522706232,4.525,3.3633130987167994,0.643851292,0.4206187555878566,10.674999999999999,0.4163712285929471,0.141838435,0.0060630970639001846,4.8905,0.2479410212127068,1.837,0.08050465825031493,4.1705,0.8735128791265759,350.6,27.961938416354474,15.669,2.6680234256842645,717.08,39.27180413477334,8.65,1.5256146302392357,405.512,30.347181351815863,3.008,0.39039211057602075,57.4677138,3.4072144891563196,1777.443,226.989320918408,116.95,1.2439855304624727,126.1,1.4106735979665885,5.0725,0.8047973347371373,6.964,0.23159015523117568,24.825999999999997,0.7794831621016579,739.98,39.27180413477334,0.43305,0.022815510075385126,0.43305,0.022815510075385126,136.01,111.56114422145373,201.25000000000003,3.6314597615834874,241.85,2.5548972582082436,202.49999999999997,2.499999999999986,223.6,1.319090595827279,299.64,21.665811778006386,12.82874576032767,80,8.65
137.75,2.48746859276655,231.8,6.705221845696084,6.9828257790631625,0.23763720630613439,57.3252938,3.412531580734274,0.0013808000000000002,0.0010551751323832456,3078.9000000000005,130.74474176807266,439.95,102.67057757702545,496.65000000000003,131.40025684906405,114.7,3.8353617821530133,138.45000000000002,1.8020821290940099,137.45,5.58994633247941,114.7,3.8353617821530133,108.2,4.354308211415448,103.55,7.324445371494008,8.226500000000001,0.6565003808072011,60.125,11.196958292322071,4.575,3.347667098144617,0.593601292,0.416443729570127,10.650500000000001,0.40308156742773565,0.14144075500000003,0.005957868871121203,4.877000000000001,0.23786761023729128,1.8330000000000002,0.07874642849044011,4.141,0.8547625401244489,348.67,27.286683565431694,15.4785,2.6586355052921413,717.9300000000001,39.381926057520346,8.55,1.499166435056495,404.782,29.919525998919173,2.9755,0.3730881263187024,57.3252938,3.412531580734274,1781.593,226.80883450827045,117.05000000000001,1.16081867662439,126.20000000000002,1.3266499161421599,5.082000000000001,0.809244091730054,6.9885,0.2172619386823197,24.7775,0.7291219033879038,740.83,39.38192605752035,0.4333,0.022961053982777015,0.4333,0.022961053982777015,135.485,111.79665144806438,201.6,3.5411862419251547,242.05,2.558808316384797,202.75,2.4874685927665356,223.65,1.275735082217296,300.03,21.438985517043484,12.369555731333724,80,8.55
137.0,2.449489742783178,230.0,7.0285133563222315,6.932521469612182,0.26015205279786724,57.9951838,3.6041586335849263,0.0012708,0.0011274176510947486,3069.05,143.9068796131721,417.6,109.41773165259825,466.95000000000005,140.60244485783312,113.9,4.0484564959994245,137.8,1.9390719429665317,135.15,6.513639535620619,113.9,4.0484564959994245,107.7,5.109794516416487,104.35000000000001,8.17480886626715,8.384,0.6777787249538009,58.05,11.924659324274216,4.3,3.487119154832539,0.748301292,0.41509968700720196,10.7155,0.43129427308973195,0.14283203500000002,0.006395461408708136,4.88,0.275136329843952,1.8444999999999998,0.08297439364044788,4.1675,0.8944879820321792,350.76000000000005,30.259021795160532,15.819999999999999,2.6996518294031913,711.2950000000001,42.98989968585645,8.9,1.6093476939431082,402.337,34.104039218250975,3.0775,0.4205933309029044,57.9951838,3.6041586335849263,1750.6240000000003,244.17010096242336,116.9,1.3379088160259651,126.10000000000001,1.5459624833740306,4.9445,0.8897891604194782,6.941000000000001,0.2436370251008661,24.841499999999996,0.8274495452896203,734.195,42.98989968585646,0.4296,0.024589428622885896,0.4296,0.024589428622885896,152.56500000000003,124.399776024718,200.50000000000003,3.7616485747608057,241.35,2.5937424698685874,202.0,2.449489742783164,223.70000000000002,1.4525839046333793,302.165,24.359726496822585,13.275831245125143,80,8.9
137.25,2.48746859276655,230.4,7.1860976892886725,6.957579963680112,0.2503644146122577,57.8527638,3.629940113174977,0.0013508,0.0011195278290422263,3066.4500000000003,142.22766960053872,423.05,109.77453028822305,474.7,140.58452973211527,114.2,3.9698866482558333,138.04999999999998,1.8834808201837363,136.05,6.14389941323912,114.2,3.9698866482558333,108.10000000000001,4.877499359302879,104.4,8.157205403813245,8.332500000000001,0.6757431094728232,58.7,11.766902736064406,4.3500000000000005,3.4752697737010285,0.698051292,0.4234503719439588,10.690999999999999,0.4208432012044394,0.142434355,0.006358242823726935,4.8665,0.2655611982199205,1.8404999999999998,0.08163792011069365,4.138,0.8760856122548756,348.83000000000004,29.6465697847154,15.6295,2.701045121800078,712.1450000000001,43.20448443159576,8.8,1.6,401.60699999999997,33.65526126774238,3.045,0.4101280287910106,57.8527638,3.629940113174977,1754.7740000000001,244.45803628434885,117.0,1.2649110640673518,126.2,1.4696938456699067,4.954,0.8951726090536953,6.9655000000000005,0.23249677417117004,24.793,0.7811536340567069,735.045,43.204484431595766,0.42985,0.024759392157320828,0.42985,0.024759392157320828,152.04,124.68074991753939,200.85000000000002,3.7453304260105007,241.54999999999998,2.6358110706194404,202.25,2.487468592766536,223.75,1.409787217987154,302.555,24.117410205077995,13.087092356442959,80,8.8
137.5,2.5,230.8,7.318469785412795,6.982638457748041,0.23754943355737076,57.7103438,3.6499868604734407,0.0014308,0.0011058094591745904,3063.8500000000004,140.4802833140651,428.5,109.86013835782295,482.45000000000005,140.13867239274103,114.5,3.866522985836233,138.3,1.7916472867168918,136.95000000000002,5.607807058021879,114.5,3.866522985836233,108.49999999999999,4.598912915026768,104.45,8.13925672282181,8.281,0.6697529395232245,59.349999999999994,11.570544498855703,4.3999999999999995,3.462657938636157,0.647801292,0.4257494096830635,10.6665,0.4086596995055914,0.14203667500000003,0.0062957349226182525,4.853,0.25491371089056764,1.8365,0.08007964785137356,4.1085,0.8562725909428609,346.90000000000003,28.892559595854433,15.438999999999998,2.688975455447669,712.995,43.40136489789233,8.700000000000001,1.5842979517754858,400.877,33.18436274813787,3.0124999999999997,0.39673511314225773,57.7103438,3.6499868604734407,1758.924,244.67525376302365,117.10000000000001,1.1789826122551597,126.30000000000001,1.3820274961085253,4.9635,0.9004236502891292,6.99,0.21805962487356534,24.7445,0.7287144502478318,735.8950000000001,43.401364897892336,0.4301,0.024925689559167668,0.4301,0.024925689559167668,151.51500000000001,124.95888633866741,201.2,3.6959437225152656,241.75,2.662235902394827,202.49999999999997,2.499999999999986,223.8,1.3638181696985727,302.945,23.86626227543811,12.68749170113598,80,8.700000000000001
137.75,2.48746859276655,231.2,7.426977851050857,7.007696951815972,0.22118153271196037,57.567923799999996,3.6643929954660655,0.0015108000000000003,0.0010860416934906322,3061.2500000000005,138.6621433557119,433.95,109.6751909047803,490.2,139.26076260023856,114.8,3.736308338453873,138.55,1.6575584454250776,137.85,4.85051543652837,114.8,3.736308338453873,108.9,4.264973622427225,104.5,8.120960534321048,8.229500000000002,0.6597005002271864,60.00000000000001,11.333578428722326,4.450000000000001,3.449275286201436,0.597551292,0.42209569672229197,10.642000000000001,0.39458332453361505,0.14163899500000002,0.006207173741847014,4.8395,0.24305297776410786,1.8324999999999998,0.07828633341778116,4.079000000000001,0.8349485014059251,344.97,27.985551629367613,15.2485,2.663259797691543,713.8450000000001,43.580781027879716,8.600000000000001,1.5620499351813308,400.147,32.690387746247374,2.98,0.3801052485825472,57.567923799999996,3.6643929954660655,1763.074,244.82194163105564,117.2,1.0770329614269007,126.40000000000002,1.2806248474865698,4.973,0.9055445875273066,7.0145,0.199611497664839,24.696,0.6686882681788276,736.745,43.580781027879716,0.43035,0.02508839373096652,0.43035,0.02508839373096652,150.99,125.23420419358283,201.55,3.6121323342314025,241.95,2.67348087705897,202.75,2.4874685927665356,223.85,1.3143439428094803,303.33500000000004,23.606000826061162,12.010787418779111,80,8.600000000000001
